idalat,data,rssi,battery,datetime
14,3,81,50,Wed Apr  5 14:41:01 2017
14,3,50,50,Wed Apr  5 14:41:31 2017
14,3,50,50,Wed Apr  5 14:42:01 2017
14,3,50,50,Wed Apr  5 14:42:31 2017
14,3,85,50,Wed Apr  5 14:43:01 2017
14,3,50,50,Wed Apr  5 14:43:31 2017
14,3,50,50,Wed Apr  5 14:44:01 2017
14,3,85,50,Wed Apr  5 14:44:31 2017
14,3,50,50,Wed Apr  5 14:45:01 2017
14,3,50,50,Wed Apr  5 14:45:31 2017
14,3,50,50,Wed Apr  5 14:46:01 2017
14,3,89,50,Wed Apr  5 14:46:31 2017
14,3,50,50,Wed Apr  5 14:47:01 2017
14,3,50,50,Wed Apr  5 14:47:31 2017
14,3,64,50,Wed Apr  5 14:54:10 2017
14,3,50,50,Wed Apr  5 14:54:40 2017
